
@relation filter-data-pacman-manual2
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute action {West, East, North, South}
@data
True,False,True,False,7,0,16,0,West
True,False,True,False,5,0,16,0,West
True,False,True,False,5,0,17,0,East
True,False,True,False,3,0,17,0,East
True,False,True,False,3,0,17,0,East
True,False,True,False,5,0,17,0,West
True,False,True,False,4,0,18,0,West
True,False,True,False,4,0,20,0,West
True,False,True,False,2,0,22,0,West
True,False,True,False,2,0,22,0,North
True,False,True,False,3,0,22,0,South
True,False,True,False,3,0,22,0,East
True,False,True,False,2,0,20,0,East
True,False,True,False,3,0,20,0,West
True,False,True,False,2,0,20,0,West
True,False,True,False,4,0,21,0,East
True,False,True,False,4,0,21,0,East
True,False,True,False,4,0,19,0,East
True,False,True,False,6,0,18,0,West
True,False,True,False,5,0,20,0,West
True,False,True,False,5,0,20,0,East
True,False,True,False,5,0,18,0,East
True,False,True,False,7,0,17,0,West
True,False,True,False,7,0,17,0,West
True,False,True,False,5,0,17,0,West
True,False,True,False,7,0,18,0,East
True,False,True,False,6,0,18,0,East
True,False,True,False,8,0,17,0,West
True,False,True,False,6,0,17,0,West
True,False,True,False,6,0,18,0,East
True,False,True,False,6,0,18,0,East
True,False,True,False,6,0,18,0,West
True,False,True,False,4,0,18,0,West
True,False,True,False,6,0,19,0,East
True,False,True,False,4,0,19,0,East
True,False,True,False,4,0,17,0,East
True,False,True,False,6,0,17,0,West
True,False,True,False,4,0,19,0,West
True,False,True,False,4,0,21,0,West
True,False,True,False,4,0,23,0,East
True,False,True,False,2,0,22,0,East
True,False,True,False,3,0,20,0,West
True,False,True,False,3,0,22,0,East
True,False,True,False,2,0,20,0,East
True,False,True,False,4,0,19,0,West
True,False,True,False,3,0,19,0,West
True,False,True,False,3,0,19,0,West
True,False,True,False,2,0,19,0,North
True,False,True,False,3,0,19,0,South
True,False,True,False,3,0,17,0,East
True,False,True,False,3,0,17,0,West
True,False,True,False,3,0,18,0,East
True,False,True,False,3,0,16,0,East
True,False,True,False,3,0,14,0,East
True,False,True,False,4,0,14,0,West
True,False,True,False,3,0,14,0,West
True,False,True,False,3,0,14,0,West
True,False,True,False,5,0,16,0,East
True,False,True,False,5,0,16,0,East
True,True,True,True,11,9,5,3,North
True,True,True,True,11,8,7,3,North
True,True,True,True,12,8,9,3,North
True,True,True,True,12,9,9,1,North
True,True,True,False,14,10,11,0,South
True,True,True,False,14,10,9,0,South
True,True,True,False,12,10,7,0,South
True,True,True,False,10,10,7,0,South
True,True,True,False,9,10,6,0,South
True,True,True,False,9,11,4,0,South
True,True,True,False,7,11,4,0,South
True,True,True,False,6,12,3,0,South
True,True,True,False,4,12,1,0,South
True,True,False,False,4,12,0,0,North
True,True,False,False,3,11,0,0,West
True,True,False,False,3,9,0,0,North
True,True,False,False,1,9,0,0,West
False,True,False,False,0,9,0,0,North
False,True,False,False,0,8,0,0,North
False,True,False,False,0,6,0,0,North
False,True,False,False,0,4,0,0,West
False,True,False,False,0,4,0,0,North
False,True,False,False,0,4,0,0,North
False,True,False,False,0,4,0,0,North
False,True,False,False,0,4,0,0,North
False,True,False,False,0,2,0,0,West
False,True,False,False,0,2,0,0,West
False,True,False,False,0,1,0,0,West
True,True,True,True,11,9,5,3,North
True,True,True,True,11,7,7,3,North
True,True,True,True,11,7,8,3,East
True,True,True,True,13,9,8,2,East
True,True,True,True,13,11,9,2,East
True,True,True,True,14,11,11,2,North
True,True,True,True,15,11,13,2,East
True,True,True,True,15,11,13,2,South
True,True,True,False,15,11,11,0,West
True,True,True,False,14,11,9,0,South
True,True,True,False,12,12,9,0,South
True,True,True,False,12,14,9,0,South
True,True,True,False,11,16,7,0,South
True,True,True,False,11,18,5,0,South
True,True,True,False,13,18,3,0,West
True,True,True,False,11,16,2,0,West
True,True,True,False,10,16,2,0,West
True,True,True,False,9,14,2,0,North
True,True,True,False,9,14,2,0,North
True,True,True,False,8,14,2,0,South
True,True,True,False,8,14,2,0,North
True,True,True,False,8,12,1,0,West
True,True,False,False,6,10,0,0,West
True,True,False,False,6,9,0,0,South
True,True,False,False,5,11,0,0,West
True,True,False,False,3,11,0,0,West
True,True,False,False,1,11,0,0,West
False,True,False,False,0,10,0,0,North
False,True,False,False,0,9,0,0,North
False,True,False,False,0,9,0,0,North
False,True,False,False,0,8,0,0,North
False,True,False,False,0,6,0,0,North
False,True,False,False,0,6,0,0,North
False,True,False,False,0,4,0,0,West
False,True,False,False,0,4,0,0,West
False,True,False,False,0,4,0,0,South
False,True,False,False,0,4,0,0,North
False,True,False,False,0,2,0,0,West
True,True,True,True,11,9,5,3,North
True,True,True,True,12,7,7,2,North
True,True,True,False,14,7,9,0,South
True,True,True,False,13,7,9,0,West
True,True,True,False,12,5,11,0,West
True,True,True,False,10,5,13,0,West
True,True,True,False,10,5,15,0,North
True,True,True,False,10,5,15,0,South
True,True,True,False,8,5,15,0,North
True,True,True,False,9,5,16,0,West
True,True,True,False,7,5,16,0,West
True,True,True,False,5,3,18,0,West
True,True,True,False,3,2,19,0,West
True,False,True,False,5,0,19,0,South
True,False,True,False,3,0,19,0,East
True,False,True,False,2,0,17,0,South
True,False,True,False,2,0,17,0,South
True,False,True,False,2,0,15,0,West
True,False,True,False,2,0,15,0,South
False,False,True,False,0,0,15,0,South
False,False,True,False,0,0,15,0,South
False,False,True,False,0,0,14,0,South
False,False,True,False,0,0,14,0,South
False,False,True,False,0,0,13,0,South
False,False,True,False,0,0,11,0,East
False,False,True,False,0,0,11,0,North
False,False,True,False,0,0,11,0,South
False,False,True,False,0,0,11,0,North
False,False,True,False,0,0,9,0,East
False,False,True,False,0,0,9,0,East
False,False,True,False,0,0,8,0,East
False,False,True,False,0,0,8,0,South
False,False,True,False,0,0,8,0,East
False,False,True,False,0,0,8,0,East
False,False,True,False,0,0,8,0,North
False,False,True,False,0,0,6,0,East
False,False,True,False,0,0,6,0,East
False,False,True,False,0,0,4,0,East
False,False,True,False,0,0,4,0,North
False,False,True,False,0,0,4,0,South
False,False,True,False,0,0,2,0,East
False,False,True,False,0,0,2,0,East
False,False,True,False,0,0,2,0,North
